"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TNFAIP8.1",7.48599091192946e-23,0.665370127464522,0.448,0.213,1.02662879366201e-18,"Memory CD4 T","TNFAIP8"
"ARHGAP15.2",2.08846631625023e-22,0.540728516614082,0.471,0.235,2.86412270610556e-18,"Memory CD4 T","ARHGAP15"
"FXYD5.1",2.72022630010698e-22,0.567718153406677,0.906,0.692,3.73051834796671e-18,"Memory CD4 T","FXYD5"
"LAT.2",4.184511829421e-22,0.579732240173485,0.403,0.18,5.73863952286795e-18,"Memory CD4 T","LAT"
"ANXA1.1",1.33940735696257e-21,0.530451579099136,0.79,0.548,1.83686324933847e-17,"Memory CD4 T","ANXA1"
"CORO1B",5.41895087541168e-21,0.650431817449082,0.308,0.133,7.43154923053958e-17,"Memory CD4 T","CORO1B"
"SIT1.2",1.60177055225638e-20,0.537146431710357,0.289,0.114,2.1966681353644e-16,"Memory CD4 T","SIT1"
"PASK",3.54470716750683e-20,0.835303395483778,0.161,0.044,4.86121140951886e-16,"Memory CD4 T","PASK"
"FYB.1",5.58456204802655e-20,0.545354818211752,0.563,0.326,7.65866839266361e-16,"Memory CD4 T","FYB"
"GSTK1",9.59475374805983e-20,0.611711636042699,0.749,0.507,1.31582452900893e-15,"Memory CD4 T","GSTK1"
"TNFRSF25",3.17819223430167e-19,0.6719459632862,0.156,0.043,4.35857283012131e-15,"Memory CD4 T","TNFRSF25"
"OPTN.1",4.57250500259927e-19,0.654221084481906,0.283,0.114,6.27073336056464e-15,"Memory CD4 T","OPTN"
"PIK3IP1.2",3.40331235672016e-17,0.546986413042345,0.413,0.213,4.66730256600603e-13,"Memory CD4 T","PIK3IP1"
"GPR171",1.92203540619745e-15,0.625295190675102,0.124,0.034,2.63587935605919e-11,"Memory CD4 T","GPR171"
"CD69.2",8.68055417736859e-15,0.561504693879709,0.533,0.322,1.19045119988433e-10,"Memory CD4 T","CD69"
"GIMAP4",1.2594460899972e-14,0.763558181402686,0.625,0.421,1.72720436782216e-10,"Memory CD4 T","GIMAP4"
"TCF7.2",3.58483542416083e-14,0.572277545289812,0.373,0.202,4.91624330069416e-10,"Memory CD4 T","TCF7"
"PPP2R5C.1",1.23593024987632e-13,0.557390329105795,0.39,0.212,1.69495474468038e-09,"Memory CD4 T","PPP2R5C"
"TRABD2A.2",1.16437621681547e-12,0.58455859152245,0.186,0.076,1.59682554374074e-08,"Memory CD4 T","TRABD2A"
"ARID5B.1",2.67260757443591e-12,0.533617588529543,0.201,0.087,3.6652140275814e-08,"Memory CD4 T","ARID5B"
"NOP58.1",3.09787382780757e-12,0.573336324627895,0.191,0.081,4.2484241674553e-08,"Memory CD4 T","NOP58"
"TNFAIP3.1",3.20123431691236e-12,0.535322715605077,0.276,0.138,4.39017274221361e-08,"Memory CD4 T","TNFAIP3"
"SLC2A3.2",1.31740728412972e-11,0.655229488632127,0.379,0.222,1.8066923494555e-07,"Memory CD4 T","SLC2A3"
"DEGS1.1",1.55590779972754e-10,0.512772483144076,0.227,0.113,2.13377195654635e-06,"Memory CD4 T","DEGS1"
"ITGB7.1",3.12341874945628e-09,0.589534705184766,0.233,0.12,4.28345647300435e-05,"Memory CD4 T","ITGB7"
"KIF5B.1",1.41697283460984e-07,0.609360657130645,0.266,0.159,0.00194323654538394,"Memory CD4 T","KIF5B"
"TERF2IP.1",3.92078182280278e-07,0.509560032189333,0.325,0.206,0.00537696019179174,"Memory CD4 T","TERF2IP"
"RGS1.1",7.39731660314547e-07,0.689102218157852,0.167,0.09,0.0101446799895537,"Memory CD4 T","RGS1"
"CD79A.3",0,4.28945081295113,0.934,0.043,0,"B","CD79A"
"MS4A1.3",0,3.40446657571113,0.86,0.052,0,"B","MS4A1"
"LINC00926.1",2.40086178991302e-276,2.8350353621085,0.562,0.009,3.29254185868672e-272,"B","LINC00926"
"CD79B.3",2.98356907342781e-275,3.46398484165131,0.911,0.143,4.09166662729889e-271,"B","CD79B"
"TCL1A.3",8.48506346829177e-274,3.58127586710228,0.619,0.022,1.16364160404153e-269,"B","TCL1A"
"HLA-DQA1.2",4.69827858124477e-269,3.06565703535256,0.885,0.118,6.44321924631908e-265,"B","HLA-DQA1"
"VPREB3",6.96435717268822e-238,2.41885010801797,0.484,0.007,9.55091942662463e-234,"B","VPREB3"
"HLA-DQB1.2",3.95393527656058e-234,3.08459780318313,0.862,0.146,5.42242683827518e-230,"B","HLA-DQB1"
"CD74.2",1.68590533420144e-188,2.93869225653996,1,0.818,2.31205057532386e-184,"B","CD74"
"HLA-DRA.3",1.80947337952646e-187,2.77415681515062,1,0.49,2.48151179268258e-183,"B","HLA-DRA"
"HLA-DPB1.3",1.81820807403533e-169,2.36991243977116,0.986,0.444,2.49349055273205e-165,"B","HLA-DPB1"
"FCER2",3.04930829252147e-169,2.07699305011687,0.378,0.01,4.18182139236395e-165,"B","FCER2"
"BANK1.3",4.46530585069901e-162,2.09137091680683,0.481,0.037,6.12372044364862e-158,"B","BANK1"
"HLA-DRB1.3",9.51207700246005e-157,2.06865798541423,0.98,0.38,1.30448624011737e-152,"B","HLA-DRB1"
"HLA-DPA1.3",2.36930657284636e-146,2.00993297021928,0.977,0.419,3.2492670340015e-142,"B","HLA-DPA1"
"FCRLA",2.93172930698652e-139,1.73762691728694,0.298,0.006,4.02057357160131e-135,"B","FCRLA"
"HLA-DQA2.2",3.39594523511459e-138,2.10735307449541,0.519,0.065,4.65719929543615e-134,"B","HLA-DQA2"
"TSPAN13",1.57360958983131e-136,1.65145147184325,0.307,0.008,2.15804819149466e-132,"B","TSPAN13"
"CD37.2",2.77740557618692e-133,1.92876306295617,0.963,0.735,3.80893400718274e-129,"B","CD37"
"HVCN1.2",2.32777876328463e-121,1.86390318266922,0.49,0.068,3.19231579596854e-117,"B","HVCN1"
"HLA-DRB5.3",3.33452386939735e-121,1.89294470307723,0.845,0.274,4.57296603449152e-117,"B","HLA-DRB5"
"PKIG",8.69527204159431e-119,1.52815591354708,0.278,0.009,1.19246960778424e-114,"B","PKIG"
"HLA-DOB",2.91619309155454e-117,1.50784786164156,0.287,0.011,3.9992672057579e-113,"B","HLA-DOB"
"BLK",1.32046495507505e-102,1.50298200449546,0.284,0.016,1.81088563938992e-98,"B","BLK"
"HLA-DMA.3",2.39226037002026e-101,1.95125521889802,0.688,0.199,3.28074587144579e-97,"B","HLA-DMA"
"GNG7",1.04154341268099e-98,1.43220611978167,0.287,0.018,1.4283726361507e-94,"B","GNG7"
"CD72",1.14071421651489e-97,1.55457630820192,0.261,0.013,1.56437547652852e-93,"B","CD72"
"PDLIM1",7.93175584172816e-97,1.39772424945541,0.315,0.026,1.0877609961346e-92,"B","PDLIM1"
"SPIB",5.59098405607932e-95,1.37835827537083,0.244,0.011,7.66747553450718e-91,"B","SPIB"
"HLA-DMB.3",1.26393370106456e-93,1.86633977363668,0.544,0.124,1.73335867763994e-89,"B","HLA-DMB"
"KIAA0125",1.27220019486144e-93,1.36580529619935,0.221,0.007,1.74469534723298e-89,"B","KIAA0125"
"PNOC",1.55393415139919e-93,1.22014088553998,0.223,0.007,2.13106529522884e-89,"B","PNOC"
"IGLL5",1.28992365429825e-86,3.43834681047975,0.235,0.012,1.76900129950463e-82,"B","IGLL5"
"CD40",1.6296328294111e-86,1.38442978446553,0.292,0.026,2.23487846225439e-82,"B","CD40"
"P2RX5",4.18118167979774e-84,1.58794839857513,0.269,0.022,5.73407255567462e-80,"B","P2RX5"
"CD19",1.64744934082816e-83,1.2307447983326,0.215,0.009,2.25931202601174e-79,"B","CD19"
"BLNK",2.79068767814511e-78,1.3705555417808,0.223,0.014,3.8271490818082e-74,"B","BLNK"
"EAF2.2",7.22358210435117e-74,1.65929505945461,0.347,0.056,9.90642049790719e-70,"B","EAF2"
"IRF8.2",2.93631613790434e-71,1.7467752741494,0.375,0.07,4.02686395152202e-67,"B","IRF8"
"PPAPDC1B",1.47650519568575e-70,1.52970125428299,0.312,0.046,2.02487922536344e-66,"B","PPAPDC1B"
"FCRL1",1.80574358874967e-67,1.1952145189753,0.218,0.017,2.4763967576113e-63,"B","FCRL1"
"CD22",3.10866382571968e-66,1.09554065833041,0.229,0.021,4.26322157059197e-62,"B","CD22"
"RPL18A.2",8.04226256085716e-66,0.600199267279242,1,0.992,1.10291588759595e-61,"B","RPL18A"
"SWAP70",3.44309333082222e-63,1.2038722565562,0.232,0.024,4.72185819388959e-59,"B","SWAP70"
"SNX29P2",5.34238655576472e-63,1.11301445666082,0.186,0.012,7.32654892257574e-59,"B","SNX29P2"
"MARCH1",5.77264301472192e-61,1.42021411131065,0.287,0.045,7.91660263038964e-57,"B","MARCH1"
"AC079767.4",1.01369560650436e-60,0.814528616686564,0.123,0.001,1.39018215476008e-56,"B","AC079767.4"
"QRSL1",2.06486717970355e-60,1.32821364403123,0.266,0.037,2.83175885024544e-56,"B","QRSL1"
"ADAM28",3.29042130167469e-59,1.06680114466597,0.178,0.012,4.51248377311667e-55,"B","ADAM28"
"POU2AF1",5.69555585138411e-59,0.965674175947497,0.158,0.008,7.81088529458817e-55,"B","POU2AF1"
"CYB561A3.2",9.27246897714363e-59,1.36274230328047,0.318,0.059,1.27162639552548e-54,"B","CYB561A3"
"ARHGAP24",1.46718250175743e-55,0.768757155099799,0.169,0.011,2.01209408291014e-51,"B","ARHGAP24"
"MEF2C",3.67525246270162e-55,1.32517665096845,0.266,0.043,5.040241227349e-51,"B","MEF2C"
"SMIM14.2",1.08648684051633e-53,1.49575621947524,0.324,0.069,1.4900080530841e-49,"B","SMIM14"
"FCRL2",4.66119787427697e-53,1.78584671640146,0.117,0.003,6.39236676478344e-49,"B","FCRL2"
"TLR10",5.44875389965538e-53,0.758587781995286,0.135,0.006,7.47242109798739e-49,"B","TLR10"
"RPS11",1.84286981855926e-52,0.686834049177147,0.991,0.939,2.52731166917218e-48,"B","RPS11"
"RPS23.2",2.08838353281331e-52,0.62734936418167,1,0.979,2.86400917690018e-48,"B","RPS23"
"FAM129C",2.03500176870542e-50,0.687432547062355,0.117,0.003,2.79080142560261e-46,"B","FAM129C"
"LY86.3",1.25968172711877e-49,1.25600453741334,0.461,0.149,1.72752752057068e-45,"B","LY86"
"RALGPS2",1.73864953408258e-48,0.938170479261882,0.163,0.014,2.38438397104085e-44,"B","RALGPS2"
"FCGR2B",4.85030852039772e-48,0.926868598052574,0.149,0.011,6.65171310487343e-44,"B","FCGR2B"
"CD180",5.03834271660523e-48,0.887328115428126,0.152,0.011,6.90958320155242e-44,"B","CD180"
"RPS5.2",1.42899058659001e-47,0.553794122766876,0.994,0.973,1.95971769044953e-43,"B","RPS5"
"RP11-693J15.5",1.83743123873718e-47,0.739218150293579,0.112,0.003,2.51985320080417e-43,"B","RP11-693J15.5"
"PLEKHF2.1",8.24912617553208e-47,1.2934940830974,0.287,0.061,1.13128516371247e-42,"B","PLEKHF2"
"SNX2.2",4.6815099287184e-45,1.30475646621684,0.464,0.174,6.42022271624441e-41,"B","SNX2"
"PPP1R14A",1.81710772813095e-44,1.21623862603457,0.126,0.007,2.49198153835878e-40,"B","PPP1R14A"
"LTB.3",1.89741037399176e-44,0.731913644413499,0.931,0.667,2.6021085868923e-40,"B","LTB"
"MZB1",8.36700652607563e-44,0.892172078269274,0.14,0.011,1.14745127498601e-39,"B","MZB1"
"LCN8",6.81896969954672e-43,0.658174490033836,0.1,0.003,9.35153504595837e-39,"B","LCN8"
"KIAA0226L",2.89261960482476e-41,0.664827024404935,0.117,0.007,3.96693852605668e-37,"B","KIAA0226L"
"STRBP",1.26906094959529e-40,0.801725624964566,0.149,0.015,1.74039018627498e-36,"B","STRBP"
"BCL7A",5.70213704535904e-40,0.745820991030234,0.106,0.005,7.81991074400539e-36,"B","BCL7A"
"ISG20.2",1.20440770254548e-39,1.20845082717458,0.691,0.423,1.65172472327087e-35,"B","ISG20"
"CXCR4.2",2.1528801263197e-38,1.1111626342007,0.808,0.567,2.95245980523483e-34,"B","CXCR4"
"NCF1.3",3.57228314027663e-38,1.16807465890852,0.39,0.132,4.89902909857537e-34,"B","NCF1"
"IGJ",2.36112848306353e-37,1.78076254876882,0.129,0.011,3.23805160167332e-33,"B","IGJ"
"TPD52",3.2734809334548e-37,1.09512154372798,0.246,0.055,4.48925175213992e-33,"B","TPD52"
"AFF3",1.26566488941171e-36,0.788304906514132,0.123,0.011,1.73573282933922e-32,"B","AFF3"
"LAPTM5.1",1.83597416038973e-36,1.02276109025412,0.871,0.775,2.51785496355847e-32,"B","LAPTM5"
"SNHG7.1",2.02147525802431e-36,1.48354205699984,0.499,0.229,2.77225116885454e-32,"B","SNHG7"
"GAPT.1",1.65270739598618e-32,1.05826992238094,0.203,0.043,2.26652292285544e-28,"B","GAPT"
"ORAI2",4.07836823665163e-31,0.979782608688828,0.218,0.051,5.59307419974405e-27,"B","ORAI2"
"LAT2.2",8.23309674075004e-31,1.30104749483843,0.252,0.068,1.12908688702646e-26,"B","LAT2"
"HLA-DQB2",1.01683446245437e-30,0.700612116906602,0.12,0.014,1.39448678180992e-26,"B","HLA-DQB2"
"CXXC5",1.78113842234115e-30,0.85769479355176,0.218,0.051,2.44265323239866e-26,"B","CXXC5"
"FAIM3.1",1.71030565876374e-29,1.15151369314524,0.41,0.178,2.34551318042859e-25,"B","FAIM3"
"TCF4",7.52350588540258e-29,0.662327307586126,0.123,0.016,1.03177359712411e-24,"B","TCF4"
"C16orf74",1.63447812872463e-27,1.06559432691526,0.16,0.031,2.24152330573296e-23,"B","C16orf74"
"CDCA7L",2.54425727031572e-26,0.813719360967998,0.129,0.02,3.48919442051097e-22,"B","CDCA7L"
"SEL1L3",7.50776525158668e-25,0.754504755015866,0.129,0.021,1.0296149266026e-20,"B","SEL1L3"
"ITM2C",7.3677832630043e-24,0.883798621205055,0.181,0.044,1.01041779668841e-19,"B","ITM2C"
"PTPRCAP.1",1.25991480132874e-23,0.729231119306315,0.84,0.611,1.72784715854223e-19,"B","PTPRCAP"
"GPR18",1.72094075618381e-23,0.741414921303318,0.143,0.028,2.36009815303048e-19,"B","GPR18"
"STX7.2",5.64271982397494e-22,0.978576792214828,0.266,0.101,7.73842596659923e-18,"B","STX7"
"CD52.2",6.63418234047602e-22,0.545954753938418,0.951,0.883,9.09811766172882e-18,"B","CD52"
"PLD4",6.73358194579043e-22,0.697788448865994,0.146,0.032,9.234434280457e-18,"B","PLD4"
"TSPAN3",9.08688078486372e-22,0.701036207131707,0.169,0.043,1.24617483083621e-17,"B","TSPAN3"
"HHEX.2",1.36065007760072e-21,0.914075229139875,0.198,0.059,1.86599551642162e-17,"B","HHEX"
"SYPL1.1",3.92892428490048e-21,0.914002331621313,0.295,0.121,5.38812676431251e-17,"B","SYPL1"
"CCDC50",1.16955001423647e-20,0.674487508071173,0.16,0.04,1.6039208895239e-16,"B","CCDC50"
"GUCD1",2.73191358674467e-19,0.802165619324337,0.143,0.034,3.74654629286164e-15,"B","GUCD1"
"IL4R",4.13661064227355e-19,0.847869706190325,0.16,0.044,5.67294783481395e-15,"B","IL4R"
"LIMD2.1",6.01751560162425e-19,0.571867153219233,0.756,0.64,8.2524208960675e-15,"B","LIMD2"
"IFT57",4.33498677911159e-17,0.805733804233799,0.192,0.066,5.94500086887363e-13,"B","IFT57"
"BIRC3.2",4.14483115824226e-16,0.827680224335,0.255,0.111,5.68422145041344e-12,"B","BIRC3"
"BTK.1",5.13572583911029e-16,1.01295076503766,0.186,0.066,7.04313441575585e-12,"B","BTK"
"RNASE6.3",5.32191197371519e-16,0.790604870212661,0.218,0.084,7.29847008075301e-12,"B","RNASE6"
"PRKCB.2",8.33632217584101e-16,0.88049938217686,0.266,0.121,1.14324322319484e-11,"B","PRKCB"
"BCAS4",1.47442153720945e-15,0.67173332034372,0.14,0.04,2.02202169612904e-11,"B","BCAS4"
"OPN3",6.1689402395414e-15,0.656185272688743,0.117,0.03,8.46008464450707e-11,"B","OPN3"
"ZNF92",7.52021468704968e-15,0.514861301517475,0.123,0.033,1.03132224218199e-10,"B","ZNF92"
"RRAS2",1.25392637285256e-14,0.583989602777101,0.112,0.028,1.71963462773001e-10,"B","RRAS2"
"SNX3.3",3.37277072465631e-14,0.789393121979897,0.573,0.445,4.62541777179367e-10,"B","SNX3"
"FAM26F.3",4.47223685576718e-14,0.84242347848205,0.361,0.206,6.13322562399911e-10,"B","FAM26F"
"ZCCHC7",4.74406556985954e-14,0.707241738070354,0.158,0.054,6.50601152250537e-10,"B","ZCCHC7"
