Alpha,Beta,Delta,Epsilon,EP,Ductal,Pre-endocrine
,2210019I11Rik,,,Pitpnm2,Mcm10,
,Tenm3,,,Tmem114,AU021092,
,Pcx,,,Arhgap27,Car13,
,Sdk1,,,Adra2c,Rnf43,
,Tmod1,,,Lmx1b,Pdlim2,
,Arfgef3,,,Kif26a,Fmo4,
,Nqo1,,,Fam53b,Akr1b7,
,Gpr27,,,Pip4k2a,Gpc6,
,Bace2,,,Rassf4,Car2,
,Fam105a,,,Tmem44,Gm37350,
,Slc16a6,,,Tcf15,Anxa3,
,Pappa2,,,Tgm7,Gm11266,
,Ucn3,,,Efcc1,Glipr1,
,Pax6os1,,,Slc52a3,Chdh,
,Cmbl,,,Phyhip,Veph1,
,Meox1,,,Igdcc4,,
,Filip1,,,Gm7932,,
,Rims3,,,Pdlim4,,
,Igsf1,,,Adamtsl2,,
,Ldlrad4,,,Bhmt2,,
,Slc16a9,,,Lrrc10b,,
,Fam163a,,,Plk5,,
,Ntf3,,,Rhbg,,
,Gm5294,,,Ntn4,,
,,,,Fez1,,
,,,,Wnt9a,,
,,,,Glod5,,
,,,,Ankrd2,,
,,,,Akr1b8,,
,,,,Sod3,,
,,,,Snai1,,
,,,,Sftpc,,
,,,,Chn2,,
,,,,C130021I20Rik,,
,,,,Nphp4,,
,,,,1700128E19Rik,,
,,,,Anks6,,
,,,,Tril,,
,,,,Fut4,,
,,,,Wnt3,,
,,,,Padi1,,
,,,,Efna3,,
,,,,Plch2,,
,,,,Lipg,,
,,,,Ppp1r16b,,
